file,import
project-falcon-main/src/pages/Login.jsx,@/lib/supabaseClient
project-falcon-main/src/pages/Login.jsx,@supabase/auth-helpers-react
project-falcon-main/src/pages/NewClient.jsx,react
project-falcon-main/src/pages/NewClient.jsx,react-router-dom
project-falcon-main/src/pages/NewClient.jsx,../lib/supabaseClient
project-falcon-main/src/pages/NewClient.jsx,../components/forms/ClientForm
project-falcon-main/src/pages/NewOrder.jsx,react
project-falcon-main/src/pages/NewOrder.jsx,@/components/orders/OrderForm
project-falcon-main/src/pages/OrderDetail.jsx,react
project-falcon-main/src/pages/OrderDetail.jsx,react-router-dom
project-falcon-main/src/pages/OrderDetail.jsx,react-hot-toast
project-falcon-main/src/pages/OrderDetail.jsx,@/lib/supabaseClient
project-falcon-main/src/pages/OrderDetail.jsx,@/components/orders/OrderActivityPanel
project-falcon-main/src/pages/OrderDetail.jsx,@/lib/services/ordersService
project-falcon-main/src/pages/Orders.jsx,react
project-falcon-main/src/pages/Orders.jsx,@/features/orders/OrdersTable
project-falcon-main/src/pages/Orders.jsx,@/features/orders/OrdersFilters
project-falcon-main/src/pages/OrdersDemo.jsx,../features/orders/OrdersTable
project-falcon-main/src/pages/Reports.jsx,react
project-falcon-main/src/pages/ReviewerDashboard.jsx,react
project-falcon-main/src/pages/ReviewerDashboard.jsx,react-hot-toast
project-falcon-main/src/pages/ReviewerDashboard.jsx,@/lib/hooks/useOrders
project-falcon-main/src/pages/ReviewerDashboard.jsx,@/lib/services/ordersService
project-falcon-main/src/pages/ReviewerDashboard.jsx,react-router-dom
project-falcon-main/src/pages/Settings.jsx,react
project-falcon-main/src/pages/Settings.jsx,@/components/settings/ProfileForm
project-falcon-main/src/pages/Settings.jsx,@/components/settings/PreferencesForm
project-falcon-main/src/pages/Settings.jsx,@/components/settings/NotificationsSettings
project-falcon-main/src/pages/UserDetail.jsx,react
project-falcon-main/src/pages/UserDetail.jsx,react-router-dom
project-falcon-main/src/pages/UserDetail.jsx,@/lib/supabaseClient
project-falcon-main/src/pages/UserDetail.jsx,@/components/ui/button
project-falcon-main/src/pages/UserDetail.jsx,@/components/ui/Errors
project-falcon-main/src/pages/UserDetail.jsx,@/components/ui/Loaders
project-falcon-main/src/pages/UserDetail.jsx,react-hot-toast
project-falcon-main/src/pages/UserHub.jsx,react
project-falcon-main/src/pages/UserHub.jsx,react-router-dom
project-falcon-main/src/pages/UserHub.jsx,@/lib/hooks/useSession
project-falcon-main/src/pages/UserHub.jsx,@/lib/supabaseClient
project-falcon-main/src/pages/UsersDashboard.jsx,react
project-falcon-main/src/pages/UsersDashboard.jsx,react-router-dom
project-falcon-main/src/pages/UsersDashboard.jsx,@/lib/supabaseClient
project-falcon-main/src/pages/UsersDashboard.jsx,@/lib/hooks/useRole
project-falcon-main/src/routes/index.jsx,react
project-falcon-main/src/routes/index.jsx,react-router-dom
project-falcon-main/src/routes/index.jsx,../pages/Orders
project-falcon-main/src/routes/index.jsx,../pages/ClientsDashboard
project-falcon-main/src/routes/index.jsx,../pages/UsersDashboard
project-falcon-main/src/routes/index.jsx,../pages/Calendar
project-falcon-main/src/routes/index.jsx,../pages/Login
project-falcon-main/src/routes/index.jsx,../pages/EditClient
project-falcon-main/src/routes/index.jsx,../pages/EditUser
project-falcon-main/src/routes/index.jsx,../pages/UserDetail
project-falcon-main/src/routes/index.jsx,../pages/OrderDetail
project-falcon-main/src/routes/index.jsx,../pages/AdminDashboard
project-falcon-main/src/routes/index.jsx,../pages/AppraiserDashboard
project-falcon-main/src/routes/index.jsx,../pages/ClientDetail
project-falcon-main/src/routes/index.jsx,../layout/Layout
project-falcon-main/src/routes/index.jsx,@/pages/ReviewerDashboard
project-falcon-main/src/routes/index.jsx,@/lib/hooks/useSession
project-falcon-main/src/routes/index.jsx,@/lib/hooks/useRole
project-falcon-main/src/routes/index.jsx,@/pages/NewOrder
project-falcon-main/src/routes/index.jsx,@/lib/hooks/ProtectedRoute
project-falcon-main/src/routes/index.jsx,../pages/NewClient
project-falcon-main/src/routes/index.jsx,../pages/UserHub
project-falcon-main/src/routes/index.jsx,../pages/Settings
project-falcon-main/src/routes/index.jsx,../pages/AdminUsers
project-falcon-main/src/routes/index.jsx,../pages/OrdersDemo
project-falcon-main/supabase/functions/email-sender/index.ts,https://deno.land/std@0.224.0/http/server.ts
